Ace Well ID, Lease Name, Well Number, Orignal 'Well Name', API Number, Seneca Well ID
0,No match,,11 204,04019019880000,7002
0,No match,,11 205,04019019890000,7003
0,No match,,11 207,04019019900000,7004
0,No match,,11 208,04019019910000,7005
0,No match,,11 2102,04019020070000,7020
0,No match,,11 2109,04019020080000,7021
0,No match,,11 211,04019020090000,7022
0,No match,,11 212,04019019920000,7006
0,No match,,11 2136,04019205830000,7814
0,No match,,11 216,04019019930000,7007
0,No match,,11 217,04019019940000,7008
0,No match,,11 218 P&A,04019019950000,7009
0,No match,,11 2236,04019206660000,7670
0,No match,,11 236,04019019960000,7010
0,No match,,11 238,04019019970000,7011
0,No match,,11 239,04019019980000,7012
0,No match,,11 240,04019019990000,7013
0,No match,,11 243,04019020000000,7014
0,No match,,11 248,04019020010000,7015
0,No match,,11 249,04019020020000,7016
0,No match,,11 252,04019020030000,7017
0,No match,,11 253,04019020040000,7018
0,No match,,11 294,04019020060000,7019
0,No match,,11 3,04019018660000,7522
0,No match,,11 3-1,04019018670000,7523
0,No match,,11 3-2 P&A,04019202940000,7803
0,No match,,11 3-3,04019201280000,7798
0,No match,,11 3-5,04019018680000,7524
0,No match,,11 3-6,04019018690000,7525
0,No match,,11 3-7,04019018700000,7526
0,No match,,11 35,04019018850000,7539
0,No match,,11 36,04019018860000,7540
0,No match,,11 37,04019018870000,7541
0,No match,,11 4,04019018710000,7527
0,No match,,11 41,04019018910000,7542
0,No match,,11 42,04019018920000,7543
0,No match,,11 43,04019018930000,7544
0,No match,,11 44,04019018940000,7545
0,No match,,11 45,04019018950000,7546
0,No match,,11 47,04019018960000,7547
0,No match,,11 48,04019018970000,7548
0,No match,,11 49,04019018980000,7549
0,No match,,11 5,04019018720000,7528
0,No match,,11 50,04019018990000,7550
0,No match,,11 51,04019019000000,7551
0,No match,,11 52,04019019020000,7553
0,No match,,11 54,04019019040000,7554
0,No match,,11 55,04019019050000,7555
0,No match,,11 56,04019019060000,7556
0,No match,,11 57,04019019070000,7557
0,No match,,11 6 P&A,04019018730000,7529
0,No match,,11 6 P&A,04019200500000,7794
0,No match,,11 60,04019019080000,7558
0,No match,,11 61,04019019090000,7559
0,No match,,11 64,04019019100000,7560
0,No match,,11 65,04019019110000,7561
0,No match,,11 68,04019019120000,7562
0,No match,,11 69,04019019130000,7563
0,No match,,11 7,04019018740000,7530
0,No match,,11 72,04019019150000,7564
0,No match,,11 76,04019019170000,7565
0,No match,,11 9,04019019010000,7552
0,No match,,11 90,04019019210000,7566
0,No match,,11 91,04019019220000,7567
0,No match,,11 92,04019019230000,7568
0,No match,,11 93,04019019240000,7569
0,No match,,11 94,04019019250000,7570
0,No match,,11-10S,04029833980000,395
0,No match,,11-10SR,04030230270000,1031
0,No match,,11-2E,04029833940000,109
0,No match,,11-2ER,04030230250000,1019
0,No match,,11-3E,04029833950000,88
0,No match,,11-3ER,04030230260000,1020
0,No match,,11-4E,04029843420000,331
0,No match,,11-5ER,04030212470000,449
0,No match,,11-7E,04029833960000,345
0,No match,,11-7ER,04030284290000,3627
0,No match,,11-8E,04029833970000,391
0,No match,,110,04029454900000,90
0,No match,,111,04029457760000,625
0,No match,,112,04029457770000,95
0,No match,,113,04029457780000,521
0,No match,,113R,04030244530000,1100
0,No match,,114,04029457790000,484
0,No match,,114R,04030230220000,1022
0,No match,,115,04029457800000,237
0,No match,,115R,04030321940000,5148
0,No match,,116,04029457810000,450
0,No match,,117,04029457820000,431
0,No match,,118,04029457830000,626
6414,11A,103,11A 103,04019256370000,8583
6413,11A,104,11A 104,04019256380000,8587
6416,11A,105,11A 105,04019256390000,8586
6469,11A,106,11A 106,04019256400000,8589
0,No match,,11A 107-11A,04019256410000,8598
0,No match,,11A 108WD,04019255790000,8584
6411,11A,110,11A 110,04019256420000,8595
6412,11A,111,11A 111,04019256430000,8596
6409,11A,112,11A 112,04019256440000,8597
6410,11A,113,11A 113,04019256970000,8600
6470,11A,114,11A 114,04019256980000,8603
0,No match,,11A 116,04019258550000,8672
6415,11A,201,11A 201,04019256450000,8582
0,No match,,12,04029053720000,561
0,No match,,13,04029053730000,562
2196,15a,14-D,14-D,04029053740000,340
0,No match,,15,04029053750000,563
2197,15a,15A 501,15A 501,04030257250000,3505
0,No match,,15A 508,04030500140000,8135
2198,15a,15A 513,15A 513,04030458020000,5806
0,No match,,15A 515,04030500150000,8145
2199,15a,15A 518,15A 518,04030458030000,5807
0,No match,,15A 542,04030543220000,8580
0,No match,,15A 543,04030543230000,8581
0,No match,,15A 544,04030543240000,8591
0,No match,,15A 545,04030543250000,8592
0,No match,,15A E31-WD,04030180650000,5077
0,No match,,15A E51-WD,04030269530000,5851
0,No match,,15A M128,04030489610000,8133
0,No match,,15A M130,04030489630000,8342
0,No match,,15A M133,04030530810000,8341
0,No match,,15A M134,04030574240000,8658
0,No match,,15A M135,04030574250000,8659
0,No match,,15A_15-HW,04030044450000,5000
0,No match,,15A_16-HW,04030044440000,5001
0,No match,,15A_17-HW,04030048270000,5002
0,No match,,15A_18-HW,04030048280000,5003
0,No match,,15A_19-HW,04030048290000,5004
0,No match,,15A_20-HW,04030048300000,5005
0,No match,,15A_21-HW,04030053420000,5006
0,No match,,15A_22-HW,04030053430000,5007
0,No match,,15A_23-HW,04030053440000,5008
0,No match,,15A_24-HW,04030053450000,5009
0,No match,,15A_25-HW,04030060180000,5010
0,No match,,15A_26-HW,04030060190000,5285
0,No match,,15A_27-HW,04030160150000,5011
0,No match,,15A_8-10w,04029565700000,5270
0,No match,,15A_D61,04030198060000,5087
0,No match,,15A_D71,04030231120000,5088
0,No match,,15A_E41,04030198070000,5090
0,No match,,15A_E61-WD,04030261680000,5100
0,No match,,15A_G41-WD,04030190100000,5076
2200,15a,15A_G72,15A_G72,04030354410000,5503
0,No match,,15A_G81-SI,04030230370000,5012
0,No match,,15A_H81-SI,04030289070000,5013
0,No match,,15A_MSI-1,04030388490000,5648
0,No match,,15A_MSI-2,04030490490000,6945
0,No match,,15A8-6,04029449570000,8198
0,No match,,16,04029053760000,564
0,No match,,17,04029053770000,522
2202,15a,18 P&A,18 P&A,04029053780000,299
2203,15a,19,19,04029053790000,103
0,No match,,1C 101,04019029820000,7188
0,No match,,1C 102,04019029830000,7189
0,No match,,1C 103,04019029840000,7190
0,No match,,1C 105,04019029850000,7191
0,No match,,1C 106,04019029860000,7192
0,No match,,1C 108,04019029870000,7193
0,No match,,1C 109,04019029880000,7194
0,No match,,1C 110,04019029890000,7195
0,No match,,1C 112,04019029900000,7196
0,No match,,1C 113,04019029910000,7738
0,No match,,1C 115,04019029920000,7739
0,No match,,1C 116,04019029930000,7740
0,No match,,1C 117,04019029940000,7741
0,No match,,1C 119,04019029950000,7742
0,No match,,1C 12,04019017200000,7064
